Product,Category,Department,product_key,pageviews,unique_ips
Perfect Fitness Perfect Rip Deck,cleats,apparel ,perfect fitness perfect rip deck,27878,2773
adidas Kids' RG III Mid Football Cleat,featured shops,apparel ,adidas kids' rg iii mid football cleat,26200,2722
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,golf ,nike men's dri-fit victory golf polo,25627,2730
Nike Men's CJ Elite 2 TD Football Cleat,men's footwear,apparel ,nike men's cj elite 2 td football cleat,25241,2703
O'Brien Men's Neoprene Life Vest,indoor outdoor games,fan shop ,o'brien men's neoprene life vest,16194,2409
Pelican Sunstream 100 Kayak,water sports,fan shop ,pelican sunstream 100 kayak,16186,2449
Diamondback Women's Serene Classic Comfort Bi,camping & hiking,fan shop ,diamondback women's serene classic comfort bi,15521,2428
Field & Stream Sportsman 16 Gun Fire Safe,fishing,fan shop ,field & stream sportsman 16 gun fire safe,15178,2405
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,footwear ,under armour hustle storm medium duffle bag,13752,2324
Columbia Men's PFG Anchor Tough T-Shirt,shop by sport,golf ,columbia men's pfg anchor tough t-shirt,13716,2336
Nike Men's Free 5.0+ Running Shoe,cardio equipment,footwear ,nike men's free 5.0+ running shoe,13641,2367
Nike Men's Free TR 5.0 TB Training Shoe,as seen on  tv!,footwear ,nike men's free tr 5.0 tb training shoe,13448,2304
Nike Men's Comfort 2 Slide,tennis & racquet,fitness ,nike men's comfort 2 slide,13275,2318
Under Armour Men's Tech II T-Shirt,lacrosse,fitness ,under armour men's tech ii t-shirt,12676,2252
Under Armour Girls' Toddler Spine Surge Runni,shop by sport,golf ,under armour girls' toddler spine surge runni,12511,2273
Nike Men's Fingertrap Max Training Shoe,soccer,fitness ,nike men's fingertrap max training shoe,12271,2265
adidas Youth Germany Black/Red Away Match Soc,girls' apparel,golf ,adidas youth germany black/red away match soc,8626,1985
The North Face Women's Recon Backpack,hunting & shooting,fan shop ,the north face women's recon backpack,8356,1950
adidas Men's Germany Black Crest Away Tee,girls' apparel,golf ,adidas men's germany black crest away tee,8099,1944
TYR Boys' Team Digi Jammer,girls' apparel,golf ,tyr boys' team digi jammer,7856,1929
Stiga Master Series ST3100 Competition Indoor,hockey,fitness ,stiga master series st3100 competition indoor,7497,1876
Ogio Race Golf Shoes,golf bags & carts,outdoors ,ogio race golf shoes,7438,1846
insta-bed Neverflat Air Mattress,hunting & shooting,fan shop ,insta-bed neverflat air mattress,7289,1863
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,strength training,footwear ,yakima doubledown ace hitch mount 4-bike rack,6770,1817
Diamondback Boys' Insight 24 Performance Hybr,basketball,fitness ,diamondback boys' insight 24 performance hybr,6668,1769
Nike Women's Free 5.0 TR FIT PRT 4 Training S,boxing & mma,footwear ,nike women's free 5.0 tr fit prt 4 training s,6327,1779
Nike Dri-FIT Crew Sock 6 Pack,hockey,fitness ,nike dri-fit crew sock 6 pack,6160,1695
adidas Kids' F5 Messi FG Soccer Cleat,baseball & softball,fitness ,adidas kids' f5 messi fg soccer cleat,6126,1704
adidas Brazuca 2017 Official Match Ball,baseball & softball,fitness ,adidas brazuca 2017 official match ball,6119,1731
Under Armour Women's Micro G Skulpt Running S,boxing & mma,footwear ,under armour women's micro g skulpt running s,5933,1664
SOLE E35 Elliptical,strength training,footwear ,sole e35 elliptical,5709,1707
SOLE E25 Elliptical,basketball,fitness ,sole e25 elliptical,5645,1657
Under Armour Kids' Mercenary Slide,electronics,footwear ,under armour kids' mercenary slide,4998,1536
Under Armour Men's Compression EV SL Slide,electronics,footwear ,under armour men's compression ev sl slide,4457,1448
Under Armour Women's Ignite Slide,electronics,footwear ,under armour women's ignite slide,4101,1375
Cleveland Golf Collegiate My Custom Wedge 588,women's golf clubs,outdoors ,cleveland golf collegiate my custom wedge 588,3932,1328
MDGolf Pittsburgh Penguins Putter,women's golf clubs,outdoors ,mdgolf pittsburgh penguins putter,3850,1350
Cleveland Golf Women's 588 RTX CB Satin Chrom,golf apparel,outdoors ,cleveland golf women's 588 rtx cb satin chrom,3728,1282
