Category Name,sales,net_sales,profit,orders,quantity,late_rate,avg_discount_rate,negative_profit_rate,profit_margin,sales_share
Fishing,6929653.690575,6226935.290565399,756220.767189502,15164,17325,0.5492640692640692,0.10168138578158731,0.18522366522366523,0.10912821923814685,0.18838395024605867
Cleats,4431942.78318506,3982856.502617,494636.919790561,20386,73734,0.5497128426540671,0.10159423291259012,0.18695776139464787,0.11160724404367993,0.12048320537236476
Camping & Hiking,4118425.571019,3700783.6284585,427455.568105731,12299,13729,0.5453419768373516,0.1016811134727948,0.18865175905018575,0.10379101448711332,0.1119601804803267
Cardio Equipment,3694843.19662996,3320250.69863897,383011.098484708,11355,37587,0.5449667654360535,0.10165051703924081,0.1867542243933691,0.10366098860001682,0.10044501327210925
Women's Apparel,3147800.0,2828708.5,350421.02956735,17869,62956,0.5455669122890421,0.10166912338954125,0.18649869265509864,0.1113225203530561,0.08557354018875056
Water Sports,3113844.684858,2798044.184858,325146.96003752,13758,15540,0.5480694980694981,0.10168339818301159,0.18815958815958816,0.10441977456956804,0.0846504585047409
Men's Footwear,2891757.6623529997,2598494.42070502,311902.820213578,18783,22246,0.5448619976625011,0.10168344920875663,0.18740447720938597,0.10785925261793383,0.0786129806644297
Indoor/Outdoor Games,2888993.9135055,2596454.01613738,318451.430554194,16623,57803,0.5474660586589284,0.10149290131604312,0.18742874909317028,0.11022918015351081,0.07853784762768241
Shop By Sport,1309522.04145468,1177185.6271800501,129813.96031482199,10136,32726,0.5515294974508376,0.1013619815642753,0.1961034231609614,0.09913079444666575,0.03559960513453102
Computers,663000.0,595395.0,69656.81017112,442,442,0.5067873303167421,0.10223981951357465,0.16515837104072398,0.10506306209822021,0.018023780781860864
Electronics,371034.64318789,333327.2607972,40891.379917647,3061,9436,0.5608365019011406,0.10183776986248416,0.17807351077313055,0.11020906179086845,0.010086647166356703
Cameras ,267607.685032,240496.6790167,30289.799945644998,592,592,0.581081081081081,0.10158783835304054,0.18243243243243243,0.11318733220244778,0.007274965687116194
Garden,257768.72827639998,231765.4602916,33443.010106141,484,484,0.5578512396694215,0.1011570252892562,0.16942148760330578,0.1297403697095513,0.007007491781105419
Children's Clothing,232829.20397719997,209268.38055539998,27178.099596873,652,652,0.5337423312883436,0.10147239313496932,0.19171779141104295,0.11672977071868716,0.0063295060815991245
Crafts,223356.325324,200704.8703333,25531.17006045,484,484,0.5599173553719008,0.10169421536776858,0.19834710743801653,0.11430690410676556,0.006071984078253053
Girls' Apparel,151706.2006334,136206.83021776,17288.569972693,1191,3615,0.5528726061615321,0.10194005041715237,0.19317235636969193,0.11396086580845204,0.004124161845347516
Women's Clothing,140283.00474499998,126006.9303264,19102.849930084,650,650,0.5646153846153846,0.10204615434923078,0.1646153846153846,0.13617365813348728,0.0038136200979556967
Accessories,133671.50882501,119712.54948536,16643.520073949,1753,5349,0.5696629213483146,0.10383146122303372,0.17921348314606741,0.12451060229848313,0.003633885327062685
Sporting Goods,117006.75,105063.6115112,12518.610118848,357,357,0.5546218487394958,0.1023529416834734,0.16806722689075632,0.10699049515389497,0.0031808506968295605
Golf Gloves,116695.390422906,104787.400320521,12975.490078118,1064,2961,0.5626168224299065,0.10226168269906542,0.16822429906542055,0.1111911107293494,0.0031723863276562946
Music,113122.09735260002,101687.28986620001,14436.31992285,434,434,0.5714285714285714,0.10135944749769585,0.18433179723502305,0.1276171522691291,0.0030752456776283344
Consumer Electronics,108991.2821119,97937.5598153,13223.399925575,431,431,0.5522041763341067,0.10169373599071926,0.18329466357308585,0.12132529932071723,0.0029629486816272078
Golf Shoes,107998.0,96506.4699898,12406.070142829,523,1444,0.5553435114503816,0.1056106875667939,0.21183206106870228,0.1148731471215115,0.0029359461189734683
Health and Beauty,106080.483077,95358.1102879,9493.629974264,362,362,0.5580110497237569,0.10135359165745855,0.23480662983425415,0.08949459597928977,0.0028838180576376306
Kids' Golf Clubs,98797.57923373,89473.69946238,9045.839895538,373,645,0.5338541666666666,0.09674479208333332,0.20052083333333334,0.09155932732053929,0.002685830934973271
Baseball & Softball,94057.15254254,84367.27085249001,12762.130067433,628,1785,0.5522151898734177,0.10294303845094938,0.16772151898734178,0.13568484397463518,0.002556961536037388
Boxing & MMA,85205.4110869,76286.71994106,8641.370006251,421,1265,0.5626477541371159,0.10366430313238771,0.18912529550827423,0.10141808948539392,0.0023163252652467913
DVDs,79395.5423667,71319.3796864,6655.430088233999,483,483,0.5362318840579711,0.10198757814492754,0.2111801242236025,0.08382624376435287,0.0021583828818617606
Golf Balls,77098.15904223,69341.24954266,8342.670023919,1444,4384,0.5457627118644067,0.10100339032542373,0.1783050847457627,0.10820842063620945,0.0020959280803351395
Trade-In,68721.77975241,61667.54046302,7915.369984928,964,2822,0.5564681724845996,0.10243326540451744,0.18172484599589322,0.1151799329622341,0.001868214620206278
Hunting & Shooting,56848.42007216,50878.9100799,5979.9999452990005,436,1239,0.5613636363636364,0.10470454599545455,0.19318181818181818,0.10519201655399296,0.001545435084729639
Strength Training,54895.529536400005,48813.8395335,332.31009052699983,111,111,0.5765765765765766,0.10504504566666667,0.16216216216216217,0.006053500045147618,0.0014923453850199725
Hockey,48360.729735400004,43618.36004757,5397.430012878,609,1711,0.5358306188925082,0.10055374641856678,0.18078175895765472,0.11160770406917757,0.0013146956126722019
Men's Golf Clubs,47035.80051772,42382.78980129,5517.989977266,280,420,0.47703180212014135,0.09911660824028269,0.1519434628975265,0.11731468193439556,0.001278677160528994
Tennis & Racquet,44585.09062432,40077.81034646,5747.979996385,327,991,0.5579268292682927,0.1022560978292683,0.1951219512195122,0.12892157256824385,0.0012120541471374719
Women's Golf Clubs,44545.9701316,39984.38980097,5028.639929453,181,403,0.5359116022099447,0.10165745897790056,0.1712707182320442,0.11288652855908476,0.0012109906491210862
Men's Clothing,43856.8012688,39365.7099925,2006.039969416,208,208,0.5432692307692307,0.10269230820192309,0.2403846153846154,0.045740681294125965,0.0011922554628393492
Pet Supplies,41524.80075276,37318.29984653,3589.259958614,492,492,0.5894308943089431,0.1015853663394309,0.21138211382113822,0.08643653656484879,0.0011288595863924542
Lacrosse,39464.78979349,35415.92979094,4364.289984193,341,1021,0.6005830903790087,0.10227405304081634,0.18075801749271136,0.11058693095871806,0.0010728577976471853
Fitness Accessories,35601.44054358,31751.36004609,5258.390016192,307,856,0.56957928802589,0.10258899740453074,0.16181229773462782,0.14770160802215754,0.0009678319153483249
Golf Apparel,34969.75003881,31447.4397102,3496.309982897,440,1025,0.5192743764172335,0.09997732480498865,0.19954648526077098,0.09998098296432596,0.000950659289134211
Video Games,33310.5,29919.19986883,2717.519996736,838,838,0.5429594272076372,0.10208830599045346,0.2159904534606205,0.08158148321808438,0.0009055522620424982
Basketball,27099.3293434,24705.3296188,1845.670003454,64,67,0.5522388059701493,0.09895522429850746,0.16417910447761194,0.06810758967743642,0.0007367004093829429
