Product Name,Category Name,sales,profit,orders,quantity,late_rate,profit_margin,sales_share,product_key
Field & Stream Sportsman 16 Gun Fire Safe,Fishing,6929653.690575,756220.767189502,15164,17325,0.5492640692640692,0.10912821923814685,0.18838395024605867,field & stream sportsman 16 gun fire safe
Perfect Fitness Perfect Rip Deck,Cleats,4421143.14353786,493828.299782181,20359,73698,0.5495818886396084,0.1116969715183238,0.1201896151196887,perfect fitness perfect rip deck
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,4118425.571019,427455.568105731,12299,13729,0.5453419768373516,0.10379101448711332,0.1119601804803267,diamondback women's serene classic comfort bi
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,3667633.19662996,379915.818503431,11092,36680,0.5447448434546799,0.10358609984567711,0.09970530425993061,nike men's free 5.0+ running shoe
Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,3147800.0,350421.02956735,17869,62956,0.5455669122890421,0.1113225203530561,0.08557354018875056,nike men's dri-fit victory golf polo
Pelican Sunstream 100 Kayak,Water Sports,3099845.08525,324076.370020296,13727,15500,0.5478709677419354,0.1045459889471088,0.08426987673344616,pelican sunstream 100 kayak
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,2891757.6623529997,311902.820213578,18783,22246,0.5448619976625011,0.10785925261793383,0.0786129806644297,nike men's cj elite 2 td football cleat
O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,2888993.9135055,318451.430554194,16623,57803,0.5474660586589284,0.11022918015351081,0.07853784762768241,o'brien men's neoprene life vest
Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,1269082.67110818,126278.510298901,9825,31735,0.552415936705284,0.09950377006458762,0.034500253179656507,under armour girls' toddler spine surge runni
Dell Laptop,Computers,663000.0,69656.81017112,442,442,0.5067873303167421,0.10506306209822021,0.018023780781860864,dell laptop
Web Camera,Cameras ,267607.685032,30289.799945644998,592,592,0.581081081081081,0.11318733220244778,0.007274965687116194,web camera
Lawn mower,Garden,257768.72827639998,33443.010106141,484,484,0.5578512396694215,0.1297403697095513,0.007007491781105419,lawn mower
Children's heaters,Children's Clothing,232829.20397719997,27178.099596873,652,652,0.5337423312883436,0.11672977071868716,0.0063295060815991245,children's heaters
