Product,Category,Department,product_key,pageviews,unique_ips,Product Name,Category Name,sales,profit,orders,quantity,late_rate,profit_margin,sales_share,sales_per_1k_views
Perfect Fitness Perfect Rip Deck,cleats,apparel ,perfect fitness perfect rip deck,27878,2773,Perfect Fitness Perfect Rip Deck,Cleats,4421143.14353786,493828.299782181,20359,73698,0.5495818886396084,0.1116969715183238,0.1201896151196887,158588.964184585
Nike Men's Dri-FIT Victory Golf Polo,women's apparel,golf ,nike men's dri-fit victory golf polo,25627,2730,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,3147800.0,350421.02956735,17869,62956,0.5455669122890421,0.1113225203530561,0.08557354018875056,122831.388769657
Nike Men's CJ Elite 2 TD Football Cleat,men's footwear,apparel ,nike men's cj elite 2 td football cleat,25241,2703,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,2891757.6623529997,311902.820213578,18783,22246,0.5448619976625011,0.10785925261793383,0.0786129806644297,114565.89130196901
O'Brien Men's Neoprene Life Vest,indoor outdoor games,fan shop ,o'brien men's neoprene life vest,16194,2409,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,2888993.9135055,318451.430554194,16623,57803,0.5474660586589284,0.11022918015351081,0.07853784762768241,178399.0313391071
Pelican Sunstream 100 Kayak,water sports,fan shop ,pelican sunstream 100 kayak,16186,2449,Pelican Sunstream 100 Kayak,Water Sports,3099845.08525,324076.370020296,13727,15500,0.5478709677419354,0.1045459889471088,0.08426987673344616,191513.96795069813
Diamondback Women's Serene Classic Comfort Bi,camping & hiking,fan shop ,diamondback women's serene classic comfort bi,15521,2428,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,4118425.571019,427455.568105731,12299,13729,0.5453419768373516,0.10379101448711332,0.1119601804803267,265345.37536363635
Field & Stream Sportsman 16 Gun Fire Safe,fishing,fan shop ,field & stream sportsman 16 gun fire safe,15178,2405,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,6929653.690575,756220.767189502,15164,17325,0.5492640692640692,0.10912821923814685,0.18838395024605867,456559.0783090657
Under Armour Hustle Storm Medium Duffle Bag,fitness accessories,footwear ,under armour hustle storm medium duffle bag,13752,2324,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,29601.54064158,4067.610021172,297,846,0.568561872909699,0.13741210535030074,0.0008047234982340617,2152.5262246640486
Columbia Men's PFG Anchor Tough T-Shirt,shop by sport,golf ,columbia men's pfg anchor tough t-shirt,13716,2336,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,27840.0,2454.800032293,304,928,0.5328947368421053,0.08817528851627156,0.0007568356816998589,2029.7462817147857
Nike Men's Free 5.0+ Running Shoe,cardio equipment,footwear ,nike men's free 5.0+ running shoe,13641,2367,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,3667633.19662996,379915.818503431,11092,36680,0.5447448434546799,0.10358609984567711,0.09970530425993061,268868.35251300933
Nike Men's Free TR 5.0 TB Training Shoe,as seen on  tv!,footwear ,nike men's free tr 5.0 tb training shoe,13448,2304,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,20597.93996418,714.429979709,68,206,0.5735294117647058,0.03468453549002473,0.0005599589056897607,1531.6731085797144
Nike Men's Comfort 2 Slide,tennis & racquet,fitness ,nike men's comfort 2 slide,13275,2318,Nike Men's Comfort 2 Slide,Tennis & Racquet,44585.09062432,5747.979996385,327,991,0.5579268292682927,0.12892157256824385,0.0012120541471374719,3358.575564920527
Under Armour Men's Tech II T-Shirt,lacrosse,fitness ,under armour men's tech ii t-shirt,12676,2252,Under Armour Men's Tech II T-Shirt,Lacrosse,20866.649801890002,2387.41000571,279,835,0.6,0.1144127125521491,0.0005672638336065246,1646.154133945251
