Order Region,sales,profit,orders,late_rate,profit_margin,sales_share
Western Europe,5894380.765107667,625446.080547806,10010,0.5584861116234461,0.10610886969674439,0.1602398593591522
Central America,5665712.101056057,616341.570650805,9396,0.5475459581525,0.10878448457271989,0.15402345834475217
South America,2960881.407628394,335154.400817116,4979,0.5430867090726481,0.11319413197489996,0.0804921227936377
Northern Europe,2155830.648588132,233450.600646958,3716,0.5404411764705882,0.10828800527529671,0.058606665177932754
Southern Europe,2047918.816884261,230829.229882964,3543,0.5438447672569187,0.11271405291062833,0.055673061560437075
Oceania,2016654.199561614,201478.02048424399,4362,0.5402049664958612,0.099907074067553,0.05482312700711557
Southeast Asia,1932495.566839391,211342.81978621898,4356,0.5552992976202956,0.10936264145323321,0.052535258610303365
Caribbean,1651019.332257893,171825.640023621,2806,0.5307766289973551,0.10407245794550239,0.04488327377259512
West of USA ,1571415.961382784,164940.660455197,2667,0.5395971475040661,0.10496308075555993,0.04271924103330382
South Asia,1553680.920196465,165703.900123919,3335,0.5626697710516104,0.10665246510394524,0.042237110574028576
Eastern Asia,1486401.338173953,147368.010614273,3318,0.5432692307692307,0.09914415900305559,0.04040810237271789
East of USA,1371111.987017012,156263.300193871,2323,0.5566160520607375,0.11396829848584218,0.03727393948925533
West Asia,1174671.783648904,118815.410047009,2022,0.5528374105508405,0.10114775182385889,0.0319336752927984
US Center ,1151355.773328393,131094.229874934,1935,0.5524036011550875,0.11386074826893923,0.031299825128809716
South of  USA ,785783.94566033,88114.879897506,1345,0.557725587144623,0.1121362689886201,0.021361685638744278
Eastern Europe,774266.56507498,79717.049920179,1292,0.5566326530612244,0.10295814583244879,0.021048583462497508
West Africa,727951.194232003,80030.270030946,1223,0.5284090909090909,0.10993906001538864,0.019789491319353602
North Africa,634752.222587971,64599.860008929,1064,0.5451732673267327,0.10177177441860163,0.017255859593853003
East Africa,376234.897484002,43167.72992689,613,0.5593952483801296,0.11473611357044718,0.010228017065969151
Central Africa,327263.01639366,33447.269959689,556,0.5796064400715564,0.10220302412496181,0.008896707187767519
Southern Africa,228251.59450551998,30826.050145997,398,0.533275713050994,0.13505294546913454,0.006205062899664691
Canada,186861.04357377,23900.70995985,309,0.4880083420229406,0.12790632816098102,0.005079852920125763
Central Asia,109839.93219669,13045.280051435,184,0.5533453887884268,0.11876627917135692,0.0029860193951849194
